Unnamed: 0,en,bg
212,hell,ад
213,morning,сутрин
214,trying,опитвайки
215,boy,момче
216,together,заедно
217,yourself,себе си
218,job,работа
219,saw,трион
220,family,семейство
221,real,реален
222,without,без
223,baby,бебе
224,room,стая
225,wouldn,нямаше
226,already,вече
229,seen,видян
230,live,на живо
231,miss,мис
232,actually,всъщност
233,huh,нали
234,shit,лайна
235,both,и двете
236,heard,Хърд
237,once,веднъж
238,ready,готов
239,head,глава
240,called,Наречен
241,idea,идея
242,knew,Знаех
243,hold,изчакване
244,happy,щастлив
245,door,врата
246,such,такъв
247,fuck,мамка
248,brother,брат
249,also,също
250,pretty,красива
251,bit,малко
252,took,взеха
253,haven,убежище
254,yet,още
255,men,хора
256,whole,цяло
257,start,начало
258,use,употреба
259,while,докато
260,since,от
261,wife,съпруга
262,days,дни
263,guess,предполагам
264,tomorrow,утре
265,matter,въпрос
266,meet,Среща
267,bring,въвеждат
268,tonight,тази нощ
269,everyone,всеки
270,run,тичам
271,wanna,искам
272,hard,твърд
274,alone,сам
275,myself,себе си
276,school,училище
277,gone,си отиде
278,um,хм
280,saying,поговорка
281,phone,телефон
282,play,игра
283,looks,външност
284,couldn,не можа да
285,fucking,шибан
286,problem,проблем
287,few,малцина
288,friends,приятели
289,gotta,Трябва да
290,ago,преди
291,open,отворен
292,anyone,някой
293,killed,убит
294,hope,надежда
295,face,лице
296,until,до
297,lost,загубен
298,police,полиция
299,excuse,извинение
300,turn,завъртете
301,business,бизнес
302,case,случай
303,wants,желанията
304,says,казва
305,TRUE,ВЯРНО
306,die,умирам
308,soon,скоро
309,each,всеки
310,worry,притеснение
311,later,по късно
312,year,година
313,watch,гледам
314,music,музика
315,hand,ръка
316,having,като
317,probably,вероятно
318,beautiful,красив
319,doctor,лекар
320,sit,седнете
322,thinking,мислене
323,young,млад
324,second,втори
325,working,работническата
326,water,вода
327,person,човек
328,part,част
329,kids,деца
330,late,късен
331,stuff,материя
332,exactly,точно
333,under,при
334,death,смърт
335,minute,минута
336,pay,заплащане
337,crazy,луд
338,forget,забравям
339,everybody,всички
340,kid,хлапе
341,change,промяна
342,gave,дадох
343,happen,става
345,five,пет
346,drink,питие
347,far,далече
348,knows,знае
349,its,негов
350,whatever,както и да е
351,eyes,очи
352,shut,затворена
353,aren,нали
354,hit,хит
356,easy,лесно
357,times,пъти
358,check,проверка
359,hands,ръце
360,minutes,минути
361,deal,сделка
362,different,различно
363,means,средства
364,point,точка
365,inside,вътре
366,makes,прави
367,asked,попитах
368,somebody,някой
369,mine,моята
371,body,тяло
372,afraid,уплашен
373,sleep,сън
374,chance,шанс
375,dear,скъп
376,quite,съвсем
377,four,четири
378,anyway,така или иначе
379,close,близо
380,ain,Ain
381,party,страна
382,fun,шега
383,against,срещу
384,word,дума
385,comes,идва
386,important,важно
387,set,комплект
388,shall,ще
389,story,история
391,daughter,дъщеря
392,least,най-малко
393,waiting,очакване
394,hurt,боли
395,wish,желанието
396,moment,момент
397,fight,битка
398,week,седмица
399,husband,съпруг
400,girls,момичета
401,rest,Почивка
402,married,женен
403,fire,пожар
405,nobody,Никой
406,mr,г-н
407,children,деца
409,stand,стоя
411,though,въпреки че
412,cut,разрез
413,started,започна
414,sister,сестра
415,supposed,предполагаем
416,between,между
417,child,дете
418,goes,отива
419,hours,часа
420,speak,говори
421,women,Жени
422,behind,зад
423,almost,почти
424,truth,истина
425,blood,кръв
426,able,способен
427,lady,дама
428,anymore,вече
429,playing,игралното
430,gets,получава
431,shot,изстрел
432,reason,причина
433,trouble,беда
434,break,почивка
435,war,война
436,city,град
437,walk,разходка
438,town,град
439,trust,Доверие
440,dr.,д-р.
441,met,MET
442,office,офис
443,question,въпрос
444,brought,донесе
445,yours,твой
446,welcome,добре дошли
447,high,Високо
448,wow,Еха
449,couple,двойка
450,half,наполовина
451,died,починал
452,cool,готино
453,free,Безплатно
454,either,един
455,seems,Изглежда
456,power,мощност
457,whoa,прт
458,bye,чао
459,buy,Купува
460,telling,показателен
461,honey,пчелен мед
462,tried,опитах
463,front,преден
465,answer,отговор
466,gun,пистолет
467,boys,момчета
468,line,линия
469,send,изпрати
470,news,Новини
472,bed,легло
473,hurry,бързам
474,full,пълен
475,months,месеца
476,save,спасяване
477,sometimes,понякога
478,become,да стане
479,along,заедно
480,hate,омразата
481,food,храна
482,outside,извън
483,light,светлина
484,l,л
485,needs,потребности
486,dog,куче
487,country,страна
488,clear,ясно
489,order,поръчка
490,em,ем
491,fact,факт
492,lord,господар
493,captain,капитан
494,six,шест
495,hot,горещ
496,funny,смешен
497,black,черно
498,mrs.,Г-жа.
499,alive,жив
500,pick,избирам
501,feeling,чувство
502,living,жив
503,cause,кауза
504,ahead,напред
505,lose,губя
506,king,цар
507,plan,план
508,dinner,вечеря
509,sighs,въздишки
510,sort,вид
511,leaving,оставяйки
512,shouldn,Не трябваше
513,running,тичане
515,alright,добре
516,promise,обещание
517,taken,взета
518,safe,сейф
519,ma,мама
520,book,Книга
521,white,бял
523,anybody,някой
525,perfect,съвършен
526,cause,кауза
527,lives,живота
528,special,специален
529,parents,родители
530,s,с
531,john,Джон
532,himself,себе си
533,perhaps,може би
534,sounds,звуци
535,serious,сериозно
536,sick,болен
537,company,компания
538,ha,ха
539,scared,уплашен
540,uncle,чичо
542,red,червен
543,past,минало
544,earth,земя
545,possible,възможен
546,shoot,фотосесия
547,touch,докосване
548,sound,звук
549,top,връх
550,ass,задник
551,laughs,смее
552,cannot,не мога
553,asking,пита
554,win,печеля
555,glad,доволен
556,control,контрол
557,hmm,хмм
559,drive,път
560,hair,коса
561,jack,крик
562,bitch,кучка
563,luck,късмет
564,murder,убийство
565,happens,случва се
566,air,въздух
567,ten,десет
568,daddy,татко
569,finally,накрая
570,chuckles,подсмихва
571,fast,бърз
572,cold,студ
573,seem,Изглежда
574,laughing,смее се
575,words,думи
576,hospital,болница
577,street,улица
578,hang,вися
579,dance,танцувам
580,meeting,среща
581,till,до
582,others,други
583,catch,улов
584,follow,последвам
585,sense,смисъл
586,sex,секс
587,lie,лъжа
588,evening,вечер
589,master,майстор
590,known,известно
591,dream,мечта
592,write,пиши
593,million,милион
594,voice,глас
595,sweet,сладка
596,rather,по-скоро
597,felt,чувствах
598,sign,знак
599,lucky,късметлия
600,somewhere,някъде
601,bet,залагане
602,o,о
603,jesus,Исус
604,longer,повече време
605,calling,призвание
606,worked,работил
607,quiet,тих
608,looked,погледнах
609,pull,дърпане
610,beat,ритъм
611,careful,внимателен
612,coffee,кафе
613,return,връщане
614,secret,тайна
615,weeks,седмици
616,weren,weren
617,date,дата
618,seeing,виждане
619,fall,падане
620,given,даден
621,ooh,ооо
622,fault,вина
623,straight,направо
625,song,песен
626,future,бъдеще
627,gentlemen,господа
628,loved,обичал
629,changed,променен
630,road,път
631,calm,спокоен
632,wonderful,чудесен
633,mad,луд
634,turned,оказа
635,drop,изпускайте
636,ladies,дами
637,step,стъпка
638,absolutely,абсолютно
639,early,рано
640,explain,обяснявам
641,clean,чист
642,piece,парче
643,yesterday,вчера
644,throw,хвърлям
645,picture,снимка
646,land,земя
647,feet,крака
648,wonder,чудя се
649,questions,въпроси
650,speaking,говорещ
651,worth,заслужава си
652,darling,любимец
653,dude,пич
654,giving,давайки
655,president,президент
656,eye,око
657,quick,бърз
658,moving,движещ се
659,figure,фигура
660,state,състояние
661,strong,силен
662,sam,Сам
663,none,нито един
664,amazing,удивителен
665,ones,нечий
666,works,върши работа
667,act,действа
668,needed,необходима
669,weird,странен
670,law,закон
671,worried,притесняваше
672,report,доклад
673,goodbye,Довиждане
674,missing,липсващ
675,choice,избор
676,happening,случва
678,wedding,сватба
679,strange,странен
680,general,общ
681,pain,болка
683,kidding,майтап
684,decided,реши
685,ya,у а
686,pass,минавам
687,tired,уморен
688,class,клас
689,officer,офицер
690,kept,съхраняват
691,wake,събуждам
692,worse,по-лошо
693,busy,зает
694,eh,а
695,mistake,грешка
696,kiss,целувка
697,court,съдебна зала
698,building,сграда
699,finish,завършек
700,during,по време на
701,age,възраст
702,ship,кораб
703,caught,хванат
704,marry,се ожени
705,meant,означаваше
706,sell,продажба
707,dark,тъмен
708,watching,гледане
709,system,система
710,suppose,предполагам
711,evidence,доказателства
712,movie,филм
713,ride,езда
714,t,т
715,completely,напълно
716,mouth,уста
717,totally,напълно
718,birthday,рожден ден
719,tv,телевизия
720,forgive,прощавам
721,born,роден
722,imagine,Представете си
723,information,информация
724,instead,вместо
725,definitely,определено
726,security,сигурност
727,certainly,разбира се
728,film,филм
729,month,месец
730,lying,лежащ
731,unless,освен ако
732,train,влак
733,seven,седем
734,wear,износване
735,clothes,дрехи
736,michael,Майкъл
737,hotel,хотел
738,christmas,Коледа
739,attack,атака
740,hasn,hasn
741,round,кръгъл
742,expect,очаквам
743,sing,Пей
745,george,Джордж
746,bag,чанта
747,history,история
748,blue,син
749,near,близо до
750,broke,разорен
751,station,станция
752,seriously,сериозно
753,forever,завинаги
754,david,Дейвид
755,frank,откровен
756,except,с изключение
757,thinks,мисли
758,message,съобщение
759,entire,цял
760,joe,Джо
761,table,маса
762,talked,говорих
763,across,през
764,rock,рок
765,lovely,прекрасен
766,handle,дръжка
768,buddy,приятелю
769,paid,платен
770,protect,защитавам
771,using,използвайки
772,floor,етаж
773,ran,завтече
774,swear,Закълни се
775,situation,ситуация
776,ring,пръстен
777,anywhere,навсякъде
778,dangerous,опасно
779,bill,законопроект
780,york,йорк
782,lead,водя
783,bought,купих
784,finished,завършен
785,fair,справедлив
786,sun,слънце
787,letter,писмо
788,fool,глупак
789,attention,внимание
790,simple,прост
791,interesting,интересен
792,space,пространство
793,test,тест
794,box,кутия
795,group,група
796,single,единичен
797,sitting,седнал
798,marriage,брак
799,join,присъединяване
800,fear,страх
801,d,д
802,peace,мир
803,forgot,забравих
805,short,къс
806,normal,нормален
807,charlie,Чарли
808,present,настояще
809,enjoy,наслади се
810,mike,микрофон
811,crime,престъпление
812,horse,кон
813,ground,приземен
814,american,американски
815,count,броя
816,area,■ площ
817,charge,зареждане
818,honor,чест
819,lunch,обяд
820,miles,мили
821,radio,радио
822,idiot,идиот
823,ball,топка
824,surprise,изненада
825,paper,хартия
826,key,ключ
827,boat,лодка
828,quickly,бързо
829,gold,злато
830,bar,бар
831,fish,риба
832,mark,марка
833,tom,мъжко животно
834,wearing,носенето
835,crying,плач
836,accident,злополука
837,government,правителство
838,eight,осем
839,fell,падна
840,cover,Покрийте
841,certain,определен
842,interested,заинтересован
843,deep,Дълбок
844,star,звезда
846,agree,Съгласен
847,problems,проблеми
848,detective,детектив
849,prison,затвор
850,major,голям
851,stick,пръчка
852,offer,оферта
854,smart,умен
855,personal,персонален
856,record,рекорд
857,stopped,спряна
858,hide,Крия
859,whether,дали
860,bank,банка
861,trip,пътуване
862,relax,отпуснете се
863,america,Америка
864,public,обществен
865,list,списък
866,afternoon,следобед
867,brain,мозък
868,fix,корекция
869,bastard,копеле
870,proud,горд
871,tea,чай
872,service,обслужване
873,screaming,крещящ
874,forward,напред
875,angry,ядосан
876,park,парк
878,fighting,борба
879,peter,Петър
880,rich,богат
881,agent,агент
882,blow,удар
883,paul,Павел
884,dress,рокля
885,mary,Дева Мария
886,missed,пропуснал
887,scene,сцена
888,killing,убиване
889,standing,стоящ
890,saved,Запазени
891,mm,mm
892,respect,уважават
893,killer,убиец
894,ice,лед
895,mess,бъркотия
896,tough,труден
898,church,църква
899,sad,тъжен
901,drunk,пиян
902,share,дял
903,camera,камера
904,mm-hmm,мм Хм
905,within,в рамките на
906,card,карта
907,fly,летя
909,girlfriend,приятелка
910,laugh,смях
911,smell,миризма
912,broken,разбито
914,honest,честен
915,often,често
916,starting,стартиране
917,calls,повиквания
918,y,ш
919,spent,прекарах
920,third,трета
921,english,Английски
922,visit,посещение
923,mama,мама
924,judge,съдия
926,hungry,гладен
927,dare,осмелявам се
928,relationship,връзка
929,moved,преместен
930,prove,докажи
931,private,частен
932,wall,стена
933,seat,седалка
934,i-i,аз-и
935,position,позиция
936,lieutenant,лейтенант
937,realize,осъзнават
938,lt,LT
939,especially,особено
940,machine,машина
941,walking,ходене
942,art,изкуство
943,pleasure,удоволствие
944,bloody,кървав
945,college,колеж
946,french,Френски
947,involved,участващи
948,cry,вик
949,became,стана
950,lived,живял
951,impossible,невъзможен
952,obviously,очевидно
953,neither,нито едното
954,accept,приемам
955,boyfriend,гадже
956,besides,Освен това
957,queen,кралица
958,teacher,учител
959,cops,ченгета
960,sake,саке
961,loves,любови
962,carry,носене
963,teach,учи
964,apartment,апартамент
965,upset,разстроен
966,green,зелен
967,la,ла
968,liked,харесали
969,cute,сладък
970,evil,зло
971,professor,професор
972,contact,контакт
973,joke,шега
974,cop,полицай
975,huge,огромен
976,holy,свят
977,store,магазин
978,jail,затвор
979,likes,харесвания
980,lawyer,адвокат
981,doubt,съмнение
982,continue,продължи
983,appreciate,ценя
984,cat,котка
986,driving,шофиране
987,congratulations,Честито
988,wrote,написах
989,village,село
990,quit,напускам
991,field,поле
992,james,Джеймс
993,wine,вино
994,decision,решение
995,south,южно
996,sleeping,спален
997,slow,бавен
998,laughter,смях
999,island,остров
1000,glass,стъклена чаша
1001,beginning,начало
1002,cash,пари в брой
1003,dying,умиращ
1004,hundred,сто
1005,whose,който
1006,difference,разлика
1007,plane,самолет
1008,push,тласък
1009,continues,продължава
1010,mmm,ммм
1011,singing,пеене
1012,eating,храня се
1013,north,север
1014,mrs,г-жа
1015,tree,дърво
1016,madam,Мадам
1017,gift,подарък
1018,truck,камион
1019,putting,пускането
1020,bear,мечка
1021,board,борд
1022,grab,заграбване
1023,beer,Бира
1024,stuck,заседнали
1025,magic,магия
1026,support,поддържа
1027,rules,правилник
1028,grunts,грухтене
1029,partner,партньор
1030,wind,вятър
1031,colonel,полковник
1032,max,макс
1033,immediately,веднага
1034,seconds,секунди
1035,thousand,хиляда
1036,experience,опит
1037,cheers,наздраве
1038,victim,жертва
1039,upon,върху
1040,computer,компютър
1041,christ,Христос
